Experiments,Time,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,pH,Lactate,Butyrate,Acetate,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
AC-BA-BH-BU-CH-DF-ER-FP-RI-3Inulin-1Pectin-2Starch,0,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0,0.0006666666666666,0.0,0.0,0.0006666666666666,0.0006666666666666,0.0,0.0006666666666666,0.0006666666666666,0.0,0.0,0.0006666666666666,6.7,0.0,0.0,0.0,0.0,0.0,0.5,0.1666666666666666,0.3333333333333333,0.0
AC-BA-BH-BU-CH-DF-ER-FP-RI-3Inulin-1Pectin-2Starch,1,,,,,,,,,,,,,,,,6.37182570094415,,,,0.0,0.0,0.5,0.1666666666666666,0.3333333333333333,0.0
AC-BA-BH-BU-CH-DF-ER-FP-RI-3Inulin-1Pectin-2Starch,2,0.0037728861563776,0.277828367129637,0.0429033153989485,0.0002247249979631,0.1629647675478332,0.2397492550383167,0.0001593373444687,0.0044212750291564,0.0897056747388795,0.0,0.0060122786316601,0.2281363467285502,0.0,2.81325892051819e-05,0.0233385757083701,6.712905790102409,,,,0.0,0.0,0.5,0.1666666666666666,0.3333333333333333,0.0
AC-BA-BH-BU-CH-DF-ER-FP-RI-3Inulin-1Pectin-2Starch,3,0.012408462043443,0.2967065299454965,0.1029854685443671,0.0007168213106367,0.2089278775581809,0.3382850538326472,0.0002421075756784,0.001369911118867,0.0170979294344362,0.0,0.0950836082873138,0.0490300690026292,5.64024484153e-05,3.116250300807464e-05,0.0299869959943895,6.76076281080377,0.001766635,10.94079369,34.8876364225,0.0,0.0,0.5,0.1666666666666666,0.3333333333333333,0.0
AC-BH-BU-CH-DF-ER-RI-1Inulin-4Starch-1Xylan,0,0.0006666666666666,0.0,0.0006666666666666,0.0,0.0006666666666666,0.0,0.0,0.0006666666666666,0.0006666666666666,0.0,0.0006666666666666,0.0,0.0,0.0,0.0006666666666666,6.7,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.6666666666666666,0.1666666666666666
AC-BH-BU-CH-DF-ER-RI-1Inulin-4Starch-1Xylan,1,,,,,,,,,,,,,,,,6.282791534103485,,,,0.0,0.0,0.1666666666666666,0.0,0.6666666666666666,0.1666666666666666
AC-BH-BU-CH-DF-ER-RI-1Inulin-4Starch-1Xylan,2,0.0026963313681405,0.0039305094605822,0.038101158662609,7.115413499579254e-05,0.1585398130305195,5.62772177781502e-05,0.0002447669342888,0.0024495155543538,0.1833871500463517,0.0,0.0093631904845326,0.0,2.656766406386695e-05,2.4177091084534977e-05,0.4598183946275415,6.1604495018757,,,,0.0,0.0,0.1666666666666666,0.0,0.6666666666666666,0.1666666666666666
AC-BH-BU-CH-DF-ER-RI-1Inulin-4Starch-1Xylan,3,0.003400369574169,0.0215152524256521,0.0889892350588765,0.0002188158355698,0.1284862460814926,2.57281253827565e-05,0.0001714929865896,0.0010114919640062,0.0287614910260246,0.0,0.0241636947095844,7.9233394689758e-06,0.0,1.7804785913780697e-05,0.4745247470702977,6.202946226797297,0.0,15.491863,20.3043965565,0.0,0.0,0.1666666666666666,0.0,0.6666666666666666,0.1666666666666666
AC-BH-BU-CH-DF-ER-RI-1Inulin-5Starch,0,0.0006666666666666,0.0,0.0006666666666666,0.0,0.0006666666666666,0.0,0.0,0.0006666666666666,0.0006666666666666,0.0,0.0006666666666666,0.0,0.0,0.0,0.0006666666666666,6.7,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.8333333333333333,0.0
AC-BH-BU-CH-DF-ER-RI-1Inulin-5Starch,1,,,,,,,,,,,,,,,,6.370278048677653,,,,0.0,0.0,0.1666666666666666,0.0,0.8333333333333333,0.0
