ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs
0.0,0.08440902614821784,-0.0015807479025855941,-0.012371715183392303,-0.02709023275716039,-0.052525862008111594,-0.023456557016832483,0.009195417006878,0.007954581479354671,0.004808160232172885,-0.024401348125638753,0.0009379242547629274,0.01639125358264142,0.001486983597142339,-0.01502849874576451
-0.012801970565973621,0.0,0.00352440882163212,-0.005080338915473603,0.01602601753514231,-0.015717360057884683,-0.03727511259236726,-0.013004318575822005,0.005398440577049257,-0.023825683599004225,-0.021239463755278572,-0.01267084306461245,-0.021611065285324353,-0.016498012696576414,-0.013094941156270901
-0.011479275420577173,-0.03236006617660214,0.0,-0.014753132924866002,-0.0063947775052221245,0.0044361561919889474,-0.0012269132667701902,-0.005901180640980176,-0.0019202606470609383,0.006663052660052398,-0.010151762678610805,0.0010785464912758758,-0.005346743047263973,-0.002712716531105721,-0.005149080408811816
-0.003627302527413222,-0.00800009026846916,-0.000504664357241007,0.0,-0.010046513784317434,0.005482254847517116,0.0035938753244289935,0.0011565850719246773,-0.0021005074167255344,-0.0052590115285706006,-0.0006779073766974279,0.003965671535528209,-0.003931629026688642,-0.0006678207944106478,-0.00028269240896091236
-0.00216407392097249,-0.07179369800532164,0.011253314623185724,-0.007424907355985514,0.0,0.01047990675510737,0.005289021539777688,-0.004540354839540344,-0.000620059429791511,0.046954612538189916,-0.03651711795418622,-0.0012261044593271104,-0.01319660881202974,0.0021294825449427947,-0.01191832425848743
0.042327302788869606,0.05580342553579721,-0.0036817532779867663,0.014905475730365263,0.03889050090897968,0.0,-0.020279979886422644,-0.010643402372833675,-0.0015912050549659975,-0.04194775658552526,0.0460965261938868,-0.008986219877801113,0.011230894118829075,-0.01584784759220549,0.014329907366106018
0.010392760136668735,-0.01848927397157982,-0.007436067050461917,-0.0007127941894773767,0.005598129026623343,-0.024798620308274618,0.0,-0.007373978028043648,0.003418132672020579,0.0072517884570860135,-0.012264477870401051,0.0035238071262506192,0.010204486115605708,0.009129512846810616,-0.0029771606726076514
-0.027645655434444007,-0.027815607080623663,0.0035514448290309484,-0.007347111901598865,-0.004931341764259434,0.0010984111020863798,-0.012942093555527754,0.0,3.090834902423488e-05,-0.008733588384733846,-0.005212843956816064,-0.0022309319077764797,-0.0146017126387107,-0.007554896767676641,-0.01622673234376274
0.012061212456827624,-0.014847178414332167,-0.00436697595357875,-0.007671681713983048,-0.016570019422736053,-0.022388042362492536,-0.04209333007944135,0.01996234106928791,0.0,0.030793730861848667,-0.017651194247623982,0.0009915070809774142,0.006343896640330392,-0.005018395823137106,-0.014928888603442771
-0.00972528608008711,-0.05655667459200539,-0.00034643821674977505,0.0011596929723527278,-0.022734970349104253,0.009451583482286318,-0.020561603467938967,0.024052484141001113,0.0029408309411455506,0.0,-0.01884777409245769,0.0026865632523095503,0.0055484762242271005,0.0059255796100802565,-0.014709083633304719
-0.0016601165246789376,-0.07876949174872533,0.002700849442787296,0.008679090106936314,-0.06398784946596343,0.010467091844146154,0.010326213083341957,-0.002873109070385715,-0.009520299645597531,0.011247388031241813,0.0,0.005744115431899738,-0.003732025650785926,-0.00840078912125717,-0.01676961104243995
0.0012491707660520544,-0.0074324881453816894,-0.004032264127200237,-0.0015783723049315511,-0.0007500254272669672,0.006251321712269864,0.010252599140396881,0.00467100081980623,-0.0014971864920359057,0.0030630678642710467,0.006994785893511062,0.0,-0.004439216309685564,0.0013958877317004706,0.001903187357037436
0.0045456143888906045,-0.005262080759443009,-0.005103187774939016,0.0027677843742712027,-0.01405490953918668,-0.007818224835142858,-0.014134489856678131,0.004177336728491718,0.001397594167307526,-0.009823786632254352,-0.0029632473951875385,-0.0026929688223400667,0.0,-0.006751076762807266,-0.0018397117441334564
-0.0036645180627133452,-0.014845195746449966,0.0038358367997583264,0.004012327223981535,-0.007802012278167136,0.0023778419900965697,0.0006223824807130642,-0.004508472005611045,0.00014956486761468624,-0.0008786833040562308,-0.004306023464197589,-0.0033962208728471675,0.0026729976123789434,0.0,-0.0025386994160955063
0.00047125849394376453,-0.0624140236266938,0.01638557542685519,0.01942517898057021,-0.02812757522411232,-0.032605722401643056,-0.047779130751300344,-0.01619982405411215,0.009327172042082967,-0.03141128347534823,-0.02239695989330603,-0.026344446231618426,0.0024817445015712517,-0.023134460567142013,0.0
