ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs
0.0,0.009533894877957258,-0.0012965793493608531,-0.004864554780224768,-0.00245907534303135,-0.004147774515802172,-0.010599798081330557,-8.922069486125986e-05,-0.00020484276235003222,-0.0025528813503981956,-0.009883342110778409,-0.001124561109723768,-0.0005021485659807954,0.0009628766103676945,-0.005802380925147392
0.007725293965048467,0.0,-0.007757736952017715,-0.011078015686732341,0.022343471559623893,-0.003084283684804344,0.0008505492635554789,-0.004478560806633568,0.00028177317443779903,0.0003612774753732563,-0.00288992802426061,0.002230833325280778,-0.004674598397485523,0.0011037406565011182,0.006319153397842377
-0.002793532839733246,-0.014184012878489256,0.0,-0.007946073310917444,-0.01371548927497488,-0.003887839713233177,-0.015286791705670056,-0.008316707529778006,-0.0017876699593367409,0.010132075234037462,-0.008246303344559286,-0.0054216828078658035,-0.013703842915001083,-0.0037385800596054287,-0.016458033125525785
-0.0025964316289848236,-0.00347062005166668,-0.0005737863020983132,0.0,-0.00514276873257771,0.001466012891880449,-0.0027948454520924583,-0.001318593983046055,-0.002263389681563473,0.003123909995640748,-0.006192422110974042,-0.0022781023082247016,-0.0032739465172999045,-0.003869076251704784,-0.0051993289081854206
0.020026376342133737,-0.01851403631924643,0.0029349448016127216,-0.002060426563706952,0.0,-0.014854571532485246,-0.00621114437113513,0.00944909400586039,0.00525647503374616,0.03580257235860959,-0.004395477543836381,0.00012175700651952379,0.0068581860195784565,-0.001314543362719486,-0.009368300077556737
0.01407301946828711,0.006949541809260268,0.0007388040597909715,-0.001735546026003764,0.012114518946024699,0.0,-0.011137788361234578,-0.008194120149828777,-0.003164642107227053,-0.03996278133761318,0.000982832476024619,-0.009915870712009386,-0.005209331301542118,-0.005284368748898472,0.009173297544811134
0.00074004055888438,-0.01513154623881685,-0.009921582414121872,-0.0074832072937687935,0.011235386672089042,-0.01766368983813277,0.0,-0.0010271823334764376,0.002574872765899689,0.007798225541266695,-0.0005358269968634317,-0.004324539785592219,-0.014374724133104913,-0.0006434117901032507,-0.015519157730129771
-0.011733844532844831,-0.0060892968556217906,0.00023800847933641114,-0.00297004489464194,-0.009472810922864689,-0.004243328516318358,-0.006989027837748969,0.0,-0.0009076293232274462,0.0025135272340126944,-0.0045099645683518855,-0.0028292797705607724,-0.010465093083664861,-0.004364988405314644,-0.015077039480713395
0.008099231223824794,-0.011614571292214595,-0.005816282596941482,-0.0025759714134274076,0.00109866543745291,-0.013137553616834718,-0.021921330409703062,0.011277478069233113,0.0,0.020374461080263216,0.00260732631927184,-0.0035241561507787836,0.006310793311369381,-0.0003875017724281002,-0.021188723882531638
-0.008548520591153273,-0.031233886651310428,-0.0009569298894109374,0.01464164019147322,-0.006869836042889956,-0.0020612311068832307,-0.019062915008253252,0.02640202153193336,0.006095623677031451,0.0,0.014506984408494166,0.0003424518575425689,0.011843605277171286,-0.0009143056141816556,-0.021284078601836436
-0.009093696104936443,-0.0004016810011964366,3.266711366490618e-06,-0.0021122404496506505,-0.026007471103529103,-0.0015670218150001958,-0.0010538477551128276,0.005041704128432815,-0.0007925352628637228,0.013432573461273132,0.0,-0.00038964908471408774,0.006459578094633331,-0.003497566717794295,-0.01565834892541888
-0.007387910275940101,-0.010041826997046236,-0.003776816111837871,-0.004232833818700126,-0.022062810267935547,-0.0005065892129569304,-0.0013554469286763448,-0.0005313457837260546,-0.0008990319113077044,0.003333198786541465,-0.0013906343839652678,0.0,0.009955484237430543,-0.004983741245606258,-0.0025730864812130855
0.007982927137071473,-0.009835557525532192,-0.0036588965102682274,0.00478978122220053,-0.0017757196143401777,-0.003802979917967181,-0.009513667559413404,0.004711321139821812,0.0010557303705094846,-0.008751944381078304,-0.0049810228958750225,-0.006521895400860223,0.0,-0.009903262053083653,-0.0017128396558566794
-0.004290274439885227,-0.016480289104076874,0.0021792924728250237,0.0036527587668261107,-0.0422980130399728,0.004802357634650412,0.0057163895617911116,-0.005876689796112656,-0.0037833473252810537,0.0075919067652945905,-0.01227145121085019,0.0013589149256640785,-0.004826306153627841,0.0,0.013122801237255455
0.003425172919247317,-0.008358130624088975,5.279541827693448e-05,-0.0017543816896344227,-0.0038828598949549147,0.0029528195580794834,-0.002551995514786955,0.00241985641010947,-0.00014723412474348547,0.007095540389789811,-0.0014183560673697402,-0.0004987057324690698,0.00964828567766807,0.004875204245399648,0.0
