Experiments,Time,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,pH,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"BH, AcGum",45.0,0.0,0.0,0.08409999559322999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.895498791380457,1.0,0.0,0.0,0.0,0.0,0.0
"BH, ArGal",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,1.0,0.0,0.0,0.0,0.0
"BH, ArGal",45.0,0.0,0.0,0.03349999959270167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.902502491783934,0.0,1.0,0.0,0.0,0.0,0.0
"BH, Inulin",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,1.0,0.0,0.0,0.0
"BH, Inulin",45.0,0.0,0.0,0.13523333519697167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.804010015457773,0.0,0.0,1.0,0.0,0.0,0.0
"BH, Pectin",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,1.0,0.0,0.0
"BH, Pectin",45.0,0.0,0.0,0.18993333727121367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.772740888846646,0.0,0.0,0.0,1.0,0.0,0.0
"BH, Starch",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,1.0,0.0
"BH, Starch",45.0,0.0,0.0,0.033000002304712665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.844676682848667,0.0,0.0,0.0,0.0,1.0,0.0
"BH, Xylan",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,1.0
