Experiments,DFabs<--ACabs,DFabs<--BAabs,DFabs<--BHabs,DFabs<--BLabs,DFabs<--BUabs,DFabs<--CAabs,DFabs<--CCabs,DFabs<--CHabs,DFabs<--DFabs,DFabs<--ELabs,DFabs<--ERabs,DFabs<--FPabs,DFabs<--PCabs,DFabs<--PJabs,DFabs<--RIabs,DFabs<--pH,DFabs<--Lactate,DFabs<--Butyrate,DFabs<--Acetate,DFabs<--AcGum,DFabs<--ArGal,DFabs<--Inulin,DFabs<--Pectin,DFabs<--Starch,DFabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*BA, Inulin",-0.0008866169760850351,-0.008158483782952482,0.0012705795094370847,0.0027871155146170735,0.003297904018651356,-0.007652125494046644,-0.030597945094447243,0.0014721976017410094,0.024126529190689326,0.010335387531667947,-0.019815658947283574,0.0003146233460442596,-0.001157355477864091,-0.003593526001680984,-0.007359036159786311,-0.06106836043806238,0.0,0.0,0.0,-0.016041794100945646,-0.012607044569132003,0.05084519538012418,-0.01422773303802718,-0.028682889816435905,-0.019394412592730743,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,1.0,0.0,0.0,0.0
"*BA, Pectin",0.0005211542987010704,0.0013045223920860065,-0.0007206362011757765,0.0023802352391860686,-0.0016868282448161721,-0.004615967532789165,-0.012548799140548163,0.0007624137130650623,0.03346001136370681,0.006782745310867374,-0.007371182678775353,0.0012847264212640852,0.005817826220935041,0.002126095333898609,-0.0024438448622822757,-0.03731666157360781,0.0,0.0,0.0,-0.008748994230885397,-0.005496399795467202,-0.040779404088177464,0.07451150672171604,-0.021192876222458752,-0.012381906695663929,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,1.0,0.0,0.0
"*BA, Starch",0.0015280784852802767,0.005829207392578775,-0.0009418134509839797,0.0027798818949271334,0.002967498978091912,-0.004426134758713572,-0.008954941354353319,-0.0009066872501915165,0.022170834807171066,0.012038022745400667,-0.014747972612015225,0.00037087534638968316,0.005514336111532017,0.0022878684120422065,-0.0020097273740578795,-0.029465265624563797,0.0,0.0,0.0,-0.004765664945271882,-0.008713491770692848,-0.051508065966719946,-0.014098098291592163,0.0633664388378913,-0.00466743954880671,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,1.0,0.0
"*BA, Xylan",0.00010781482539393488,0.0034903352707624444,-0.0009585249440913837,0.0015051229230382199,0.007773066330701112,-0.0027198974330994215,-0.0037353218177502813,0.0011980996094644088,0.022928945801474823,0.007644410722635011,-0.009314086257734083,-0.0006025399928065838,0.005661666471172464,0.0012819556824185624,-0.002242319458587602,-0.03309291916306724,0.0,0.0,0.0,-0.0039296182583678846,-0.008864446795460851,-0.05966316444629972,-0.01475347091867165,-0.008398790364577012,0.07033141829920087,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,0.0,1.0
"*BH, *AcGum",0.000516567003320564,-0.0030821281248195605,0.00010330176488919646,0.00032124033705754743,0.0038737357543273416,-0.003998628377237102,-0.01684256097979166,0.0006211563758552072,0.023911201787943183,0.010552963153882459,-0.0025174487229775305,-0.0005054085583172057,0.004749856340614231,0.002413412010805171,-0.0030134901759976697,-0.03845154749398882,0.0,0.0,0.0,-0.002040585988963192,0.0057662052288651455,-0.022884995273568413,0.0026313532567159696,0.0025261620787734333,0.00899738994850354,0.9999550022498874,0.9999550022498874,0.0,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*BH, *ArGal",0.00023886260661211978,-0.003294999226927758,0.0005248451232910164,0.0012425932880829689,0.0025505958666855637,-0.006334870616820726,-0.016699384684589782,0.0008975866470824593,0.022114988484165883,0.010353685106066142,-0.010491030636158855,-5.902284925634194e-05,0.007852176539599895,0.0021798901801759548,-0.0015284689498895943,-0.034665434804152365,0.0,0.0,0.0,0.009346682847562161,-0.006005603222345764,-0.026161807963455262,0.005239553067155861,0.005114488208835775,0.011232412013817918,0.9999550022498874,0.9999550022498874,0.0,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*BH, *Inulin",-0.0009931920519606625,-0.0021084870770573614,0.001433309342034838,0.0018689165230501785,0.0062214991111647,-0.006724825724959374,-0.011355130310085686,0.0007937273603271354,0.02320386065170169,0.012366688656197354,-0.006380180501463737,-0.0007861587151207706,0.007376205164261838,0.002818397791548208,-0.0023389088159257716,-0.03452022551135583,0.0,0.0,0.0,0.009360043272714726,0.0048637220331213685,-0.05375965432009913,0.005444976318288932,0.005670460218733006,0.011192696521228009,0.9999550022498874,0.9999550022498874,0.0,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*BH, *Pectin",6.051315841349673e-05,-0.002616503111679445,0.0002046789973974227,0.0005375611748207699,0.0032054251703349033,-0.005122615427456118,-0.011244910799644209,0.002126891755244949,0.016749955805187875,0.011853714707222851,-0.0053254904411733145,-0.00027844619852575417,0.006327009248462589,0.0021616443873129117,-0.002424417295577851,-0.028532797700979495,0.0,0.0,0.0,0.0104089938883077,0.0009906406107951294,-0.029794694545932796,-0.012887063732540066,0.0076525000211867394,0.009595157712359319,0.9999550022498874,0.9999550022498874,0.0,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*BH, *Starch",8.058936758474854e-05,-0.003093109933490103,-0.000509045701473951,0.00040962126106023846,0.005481135440482335,-0.003572813724590973,-0.009479176036336207,0.0007420421171594749,0.017624854205006906,0.008478699384087867,-0.004020136313682254,-0.00026825422929091855,0.006361856761981141,0.0020493559149855917,-0.001849631987173449,-0.040393621217120784,0.0,0.0,0.0,0.010914510952478106,0.006984161429784515,-0.02588290541517464,0.006294616584412077,-0.012425100566311319,0.009720091257583009,0.9999550022498874,0.9999550022498874,0.0,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*BH, *Xylan",-0.0005247420241886923,-0.0034112543595785426,0.0005435054647651587,0.0011030231026763265,0.0060413353856314305,-0.006330631312660195,-0.01612667800858617,-0.00011895146728916592,0.02017969538711689,0.011530221109701828,-0.0025450022637166767,0.0004868038184940811,0.005859935522418128,0.002850794284181161,-0.002748015189374035,-0.0366176962598481,0.0,0.0,0.0,0.010410001972182233,0.0074187581630593,-0.025249516154554754,0.005282566183331338,0.0020015143382955676,-0.00638793210922317,0.9999550022498874,0.9999550022498874,0.0,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*BH, AcGum",-0.0010665092668072746,-0.004527975569733166,-0.0001346276192502537,0.000780578535050155,0.0031603031317618754,-0.0034218570996414534,-0.0022000323015857826,-0.0005645700120790441,0.014754880590533669,0.010018565576862204,-0.004886425674300303,-0.0011252385310151361,0.0040327848477119755,0.0001677022857422189,-0.001820611234076998,-0.016476456900550558,0.0,0.0,0.0,0.041613585750826375,-0.0021280549331144853,-0.042529861864379855,-0.011734842934053052,-0.005667039960284125,-0.002596562564034354,0.9999550022498874,0.9999550022498874,0.0,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*BH, ArGal",-6.031734360889169e-06,-0.0027411953021179536,0.00021943139250983013,0.001353051154450937,0.0027681950208815653,-0.003355162233452906,-0.004228311839767479,4.5462191443551746e-05,0.013048279188912021,0.008253064951436085,0.001807016139342027,-0.00011080368675968873,0.0039576429043981145,0.0011667320149188688,-0.0024662216007709506,-0.027229624278843404,0.0,0.0,0.0,-0.000697729069400917,0.048908374507657504,-0.04300414108586583,-0.007574086685410958,-0.01105370679531585,-0.0054124954630705435,0.9999550022498874,0.9999550022498874,0.0,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
