Experiments,BHabs<--ACabs,BHabs<--BAabs,BHabs<--BHabs,BHabs<--BLabs,BHabs<--BUabs,BHabs<--CAabs,BHabs<--CCabs,BHabs<--CHabs,BHabs<--DFabs,BHabs<--ELabs,BHabs<--ERabs,BHabs<--FPabs,BHabs<--PCabs,BHabs<--PJabs,BHabs<--RIabs,BHabs<--pH,BHabs<--Lactate,BHabs<--Butyrate,BHabs<--Acetate,BHabs<--AcGum,BHabs<--ArGal,BHabs<--Inulin,BHabs<--Pectin,BHabs<--Starch,BHabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
AC-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Pectin-Xylan,-0.0009277506421009699,0.0,0.05892999221881231,-0.009410152211785316,-0.009729151924451193,-0.02603239193558693,-0.014953109125296274,-0.005797762423753738,-7.056941588719685e-05,0.01461737354596456,-0.024246253694097202,-0.003245837986469269,-0.019688363497455914,-0.0005982667207717896,-0.017929984877506893,0.0,0.0,0.0,0.0,0.014509338264664015,0.02255730765561263,0.0185496819516023,0.020228387787938118,0.0,0.01849178286890189,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.2,0.2,0.0,0.2
AC-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Starch-Xylan,0.009245249753197035,0.0,0.06947705646355946,-0.022220001245538395,-0.020534334083398182,-0.019578225910663605,-0.021162716671824455,-0.011813024058938026,0.0019459227720896404,0.006140887116392453,-0.016705994804700215,-0.00592159666121006,-0.005750270560383797,0.0004119885464509328,-0.016950237875183422,0.0,0.0,0.0,0.0,0.0036394509176413217,0.00560665378967921,0.015691593910257023,0.0,0.012976030508677164,0.015501568093895912,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.2,0.0,0.2,0.2
AC-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Pectin-Starch-Xylan,0.0034956342230240503,0.0,0.06634798894325893,-0.022099897265434265,-0.012802223985393843,-0.022645212089022,-0.01796163370211919,-0.017207274213433266,-0.004852492983142535,0.013153507063786188,-0.026329441616932552,-0.0018121221413215,-0.015465375036001205,-0.000599679226676623,-0.014456958199540773,0.0,0.0,0.0,0.0,0.016005553926030796,0.01912706531584263,0.0,0.038027153039971985,0.022893122707804043,0.015106664349635443,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.0,0.2,0.2,0.2
AC-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-Inulin-Pectin-Starch-Xylan,0.00898739385108153,0.0,0.07555146825810273,-0.022330852846304577,-0.0012531677881876628,-0.014869792386889458,-0.01485351286828518,-0.01095058023929596,-4.4339646895726524e-05,0.001824948936700821,-0.03152835679550966,-0.006311782946189244,-0.019909041623274486,0.002803953985373179,-0.011819884181022644,0.0,0.0,0.0,0.0,0.01974426644543807,0.0,0.024241895104448002,0.022752007469534874,0.014820390691359838,0.02704772228995959,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.0,0.2,0.2,0.2,0.2
AC-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal,0.007857414428144693,0.0,0.03652202617377043,-0.00777099234983325,-0.008095106109976768,-0.006562535185366869,-0.012156141456216574,-0.00823478726670146,0.0008332175202667713,0.003975172061473131,-0.01789674162864685,-0.003338014241307974,-0.007256895769387484,0.002376456744968891,0.0004936922341585159,0.0,0.0,0.0,0.0,0.0,0.0192532348446548,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,1.0,0.0,0.0,0.0,0.0
AC-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal-Inulin-Pectin-Starch-Xylan,0.0036545240630706153,0.0,0.05634040820101897,-0.019988510757684708,-0.02812315771977107,-0.016683030873537064,-0.0225522443652153,-0.010832461218039194,0.0019361265003681183,0.008874685193101564,-0.01792486881216367,-0.006270509213209152,-0.013463220869501432,-0.0014021067569653194,-0.012056509653727213,0.0,0.0,0.0,0.0,0.0,0.013930789505441984,0.018582794815301895,0.009907263020674387,0.0196972768753767,0.01637275206545989,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.2,0.2,0.2,0.2,0.2
AC-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Inulin,-0.004489758983254433,0.0,0.06167637789621949,-0.004390445537865162,-0.028817923739552498,-0.009896264877170324,-0.01837804215028882,-0.002128938678652048,-0.00035648560151457787,0.008044081274420023,-0.011094487737864256,0.001244744285941124,-0.010197349358350039,-0.00147641496732831,-0.001462607178837061,0.0,0.0,0.0,0.0,0.0,0.0,0.02172351535409689,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,1.0,0.0,0.0,0.0
AC-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Pectin,-0.0025567244738340378,0.0,0.03638916974887252,0.0017808922566473484,-0.005090240854769945,-0.0014494378119707108,-0.006200624164193869,-0.00867697037756443,-0.0010421928018331528,-0.0008860803209245205,-0.004536904394626617,-0.00837760791182518,-0.006717552896589041,-0.0028698137030005455,-0.0031199916265904903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013354079332202673,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,0.0,1.0,0.0,0.0
AC-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Starch,0.002077613491564989,0.0,0.03899028990417719,-0.019767228979617357,0.0023438031785190105,-0.013812643010169268,-0.014102756045758724,-0.0016564293764531612,0.0002759951166808605,0.019344412721693516,-0.02281951578333974,-0.0005617570132017136,0.002043312881141901,-0.0025540804490447044,-0.014102078974246979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02430106233805418,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,0.0,0.0,1.0,0.0
AC-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Xylan,-0.003564171027392149,0.0,0.04617099743336439,-0.023641245905309916,-0.00191433634608984,0.001746374648064375,-0.005139943677932024,-0.001127585768699646,-0.0008684298954904079,0.012814661022275686,-0.01951408525928855,-0.00644881883636117,-0.006987482775002718,0.0050208051688969135,-0.015964441932737827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01941770315170288,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,0.0,0.0,0.0,1.0
AC-Inulin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AC-Pectin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AC-Starch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AC-none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA-AcGum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BA-AcGum-ArGal-Inulin-Pectin-Starch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0
BA-AcGum-ArGal-Inulin-Pectin-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2
BA-AcGum-ArGal-Inulin-Starch-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2
BA-AcGum-ArGal-Pectin-Starch-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2
BA-AcGum-Inulin-Pectin-Starch-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2
BA-ArGal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BA-ArGal-Inulin-Pectin-Starch-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum,0.0,-0.00930863106623292,0.038850546814501286,-0.008826554287225008,-0.0016210796311497688,-0.00830416427925229,-0.01092893397435546,-0.006463451310992241,-0.0007735108956694603,0.007354262284934521,-0.004895556718111038,-0.0007829451933503151,-0.01536117447540164,-0.005582249723374844,-0.018024477176368237,0.0,0.0,0.0,0.0,0.044667919632047415,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,1.0,0.0,0.0,0.0,0.0,0.0
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Pectin-Starch,0.0,-0.017242177700002987,0.05985706299543381,-0.009925628701845804,-0.006034883360068004,-0.021537750959396362,-0.013518140961726507,-0.01709340636928876,-0.00047215384741624195,0.015848012020190556,-0.024629746253291767,-0.003923411791523297,-0.01544942520558834,-0.00878746248781681,-0.026373866945505142,0.0,0.0,0.0,0.0,0.015130659565329552,0.022109343359867733,0.019365256652235985,0.021589986979961395,0.011087733010450998,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.2,0.2,0.2,0.0
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Pectin-Xylan,0.0,-0.006660321727395058,0.05706558314462503,-0.005402422199646632,-0.010707879438996315,-0.010967007527748743,-0.014959373821814856,-0.021645262837409973,0.0016261488199234009,-0.002996544043223063,-0.027807978292306263,-0.004419445991516113,-0.02652409051855405,0.0009883685658375423,-0.008788603668411573,0.0,0.0,0.0,0.0,0.015277581910292307,0.019037581980228424,0.009764594957232475,0.014050955573717753,0.0,0.02306811511516571,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.2,0.2,0.0,0.2
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Starch-Xylan,0.0,-0.014472597589095434,0.07054542005062103,-0.01820529003938039,-0.010531973714629808,-0.010247287650903067,-0.014730180924137434,-0.030840289468566578,-0.0027898382395505905,0.013860723624626795,-0.01748037338256836,-0.002772075434525808,-0.0028918242702881494,-0.001704142118493716,-0.020021699989835422,0.0,0.0,0.0,0.0,0.012115941693385443,0.020179420088728268,0.006980968018372853,0.0,0.008901062111059824,0.014104037235180536,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.2,0.0,0.2,0.2
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Pectin-Starch-Xylan,0.0,-0.0010954327881336212,0.07353879511356354,-0.029640598222613335,-0.023286492253343265,-0.007335021470983823,-0.013931253924965858,-0.01929007222255071,-0.0006505834559599558,0.018041524415214855,-0.020174963399767876,-0.00255018783112367,0.0006194822490215302,-0.009469466904799143,-0.009127949674924215,0.0,0.0,0.0,0.0,0.03098379634320736,0.01664595678448677,0.0,0.02094213229914506,0.03208895089725653,0.027548175305128098,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.0,0.2,0.2,0.2
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-Inulin-Pectin-Starch-Xylan,0.0,-0.01563321426510811,0.0418449267745018,-0.014384573325514793,-0.013788561647137007,-0.01700325372318427,-0.01514806660513083,-0.023303090284268062,0.003193237508336703,0.0069479066878557205,0.0007335686435302099,0.0006028922895590464,-0.005398909250895183,-0.0012336081514755886,-0.0038122416784365973,0.0,0.0,0.0,0.0,0.013706273088852564,0.0,0.010435757537682852,0.007796679312984149,0.00532980573674043,0.01911447135110696,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.0,0.2,0.2,0.2,0.2
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal,0.0,0.0022830655798316,0.03806292451918125,-0.006869007367640734,-0.011055982671678066,-0.0041424185037612915,-0.007761036977171898,-0.014643881469964981,-0.0002542012371122837,0.011994376312941313,-0.009356998372823,-0.0007838541641831398,-0.0055169579572975636,-0.0007506231777369976,-0.009309924207627773,0.0,0.0,0.0,0.0,0.0,0.018104519695043564,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,1.0,0.0,0.0,0.0,0.0
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal-Inulin-Pectin-Starch-Xylan,0.0,-0.017169277494152386,0.05999277966717879,-0.017199500153462093,0.00245042455693086,-0.01709320954978466,-0.023769014825423557,-0.023575908193985622,-0.0008663001159826914,0.006124081710974376,-0.021219129984577496,-0.0026089989890654883,-0.0021801721304655075,-0.002924968178073565,-0.018329647680123646,0.0,0.0,0.0,0.0,0.0,0.0252699280778567,0.012496611724297205,0.00838679758210977,0.014307504519820213,0.017907999455928802,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.2,0.2,0.2,0.2,0.2
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Inulin,0.0,0.0035078730434179306,0.07467778772115707,-0.02163876872509718,-0.010569431819021702,-0.006685854867100716,-0.008642689324915409,-0.032765802927315235,-0.0012270091101527214,0.007467488758265972,-0.01579225016757846,4.496239125728607e-05,-0.03054596297442913,-0.008952287025749683,0.0007829959504306316,0.0,0.0,0.0,0.0,0.0,0.0,0.05033894907683134,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,1.0,0.0,0.0,0.0
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Pectin,0.0,-0.002850587945431471,0.035518539138138294,-0.0010343389585614204,-0.005095835775136948,-0.0037717544473707676,-0.003071174956858158,-0.005997268483042717,-0.0007631205953657627,-0.0013910471461713314,-0.00526648573577404,-0.00215332442894578,-0.0035469206050038338,0.001935875043272972,-0.004970521666109562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002457966562360525,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,0.0,1.0,0.0,0.0
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Starch,0.0,-0.007787012029439211,0.030118511989712715,-0.008910362608730793,0.006156149785965681,0.006086090113967657,-0.006205757148563862,-0.011578651145100594,-0.0026108953170478344,0.007163024507462978,-0.0065352218225598335,-0.002727325540035963,-0.01082902168855071,-0.006541762966662645,-0.0048569138161838055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01905914768576622,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,0.0,0.0,1.0,0.0
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Xylan,0.0,-0.015503326430916786,0.02113247662782669,-0.018054243177175522,0.0055571612901985645,0.0009775147773325443,-0.0026632877998054028,0.0018106075003743172,-0.0005137324333190918,0.007645501755177975,-0.012907341588288546,-0.0014205253683030605,-0.0059933229349553585,0.0010128989815711975,-0.007942905649542809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026862524449825287,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,0.0,0.0,0.0,1.0
BA-Inulin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BA-Pectin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BA-Starch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BA-Xylan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BA-none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BH-AcGum,0.0,0.0,0.1836913675069809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07392235100269318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BH-AcGum-ArGal-Inulin-Pectin-Starch,0.0,0.0,0.2107047683706409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019475651218702917,0.015236659857787584,0.016732962704018542,0.014563663421492828,0.021419816699467208,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0
BH-AcGum-ArGal-Inulin-Pectin-Xylan,0.0,0.0,0.23644943202012464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019671032891461725,0.014631826626627068,0.01619916389647283,0.019906866119096155,0.0,0.03464604365198236,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.2
BH-AcGum-ArGal-Inulin-Starch-Xylan,0.0,0.0,0.22680851542635969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016202956241996663,0.015772606785360136,0.016724352773867156,0.0,0.014482525226316954,0.027405773730654465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2
BH-AcGum-ArGal-Pectin-Starch-Xylan,0.0,0.0,0.22997777811006495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013781694009115822,0.009522055324755217,0.0,0.01603674967038004,0.015471242172153373,0.02915553572146516,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2
BH-AcGum-Inulin-Pectin-Starch-Xylan,0.0,0.0,0.2289533130824566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018655427192386827,0.0,0.009183333108299658,0.017613314288227183,0.013562299311161041,0.029889965920071853,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2
BH-ArGal,0.0,0.0,0.14019612222909927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030427105724811554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BH-ArGal-Inulin-Pectin-Starch-Xylan,0.0,0.0,0.22658097469492963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015643391366067686,0.011672754036752801,0.017111297892896754,0.016555020683690122,0.03403538916456072,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
BH-Inulin,0.0,0.0,0.17489227652549744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06512326002120972,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
