Experiments,BHabs<--ACabs,BHabs<--BAabs,BHabs<--BHabs,BHabs<--BLabs,BHabs<--BUabs,BHabs<--CAabs,BHabs<--CCabs,BHabs<--CHabs,BHabs<--DFabs,BHabs<--ELabs,BHabs<--ERabs,BHabs<--FPabs,BHabs<--PCabs,BHabs<--PJabs,BHabs<--RIabs,BHabs<--pH,BHabs<--Lactate,BHabs<--Butyrate,BHabs<--Acetate,BHabs<--AcGum,BHabs<--ArGal,BHabs<--Inulin,BHabs<--Pectin,BHabs<--Starch,BHabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-AcGum-ArGal-Inulin-Starch-Xylan,-0.003410147503018379,-0.018083877861499786,0.07351246414085229,-0.019064750522375107,-0.021213843176762264,-0.009162946293751398,-0.021666790669163067,-0.006216585015257199,-0.00489216111600399,0.015991708884636562,-0.023558950051665306,-0.005186700572570165,-0.01845423753062884,0.013300484046339989,0.0,0.0,0.0,0.0,0.0,0.02206701102356116,0.018112530931830406,0.018333110958337784,0.0,0.009907367949684462,0.02203115075826645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-AcGum-ArGal-Pectin-Starch-Xylan,0.006398271148403485,-0.032329451913634934,0.07148840775092442,-0.01704324036836624,-0.0017799803366263707,0.0007851806779702505,-0.012633121882875761,-0.010305476685365042,0.0013113276412089665,0.0032670702785253525,-0.03173542208969593,-0.007542086144288381,-0.011211122075716654,0.011564670130610466,0.0,0.0,0.0,0.0,0.0,0.020831309258937836,0.027241260434190433,0.0,0.022806837533911068,0.019057197496294975,0.029715228204925854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-AcGum-Inulin-Pectin-Starch-Xylan,-0.012681922564903894,-0.014672793447971344,0.04543386027216911,-0.025455116604765255,-0.007719829678535461,-0.009596525381008783,-0.006990135336915652,-0.025582384318113327,-0.0039558497567971545,0.005889188498258591,-0.012103203684091568,-0.00040451933940251666,-0.013465200240413347,0.00523153692483902,0.0,0.0,0.0,0.0,0.0,0.017604683836301167,0.0,0.009433073922991753,0.03194651876886686,0.007532069459557533,0.009556548669934273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-ArGal,-0.008288648910820484,-0.0031698867678642273,0.0382985956966877,-0.0101935351267457,-0.025490025989711285,-0.015602447558194399,-0.010071535594761372,-0.01184987835586071,0.0012898370623588562,0.00156764080747962,-0.015223671216517687,0.0007494636811316013,-0.003201909828931093,-0.001408387441188097,0.0,0.0,0.0,0.0,0.0,0.0,0.020581519231200218,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-ArGal-Inulin-Pectin-Starch-Xylan,-0.010752612724900246,-0.009383819997310638,0.06286698766052723,-0.026395729432503384,-0.020017550016442936,-0.014302310844262442,-0.026087521264950436,-0.03586121400197347,0.0010336488485336304,0.0017365279297033946,-0.021742322171727817,-0.002672168736656507,-0.009659985701243082,0.006871788452068965,0.0,0.0,0.0,0.0,0.0,0.0,0.02354714274406433,0.023758621886372566,0.017485218743483227,0.012938042481740316,0.026637256145477295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-Inulin,-0.0003294898197054863,-0.003571420907974243,0.05548837035894394,-0.012860871851444244,-0.016537874937057495,0.0018069669604301453,-0.02042285166680813,-0.02607150236144662,-0.00029470352455973625,-0.0021329778246581554,-0.007581991609185934,0.0018025031313300133,-0.004118021577596664,-0.005686844699084759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04051071032881737,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-Pectin,0.00011589284986257553,-0.005147944670170546,0.044216913636773825,0.0024927225895226,-0.00903985695913434,-0.007304520811885595,-0.004864961374551058,-0.008358522318303585,-0.00023987283930182457,-0.0027883537113666534,-4.948629066348076e-05,-0.007548370864242315,-0.0037092030979692936,-0.002337481826543808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004563045687973499,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum,9.979009628295899e-05,-0.011036333938439688,0.037786040703455606,-0.00897434155146281,-0.009591074287891388,0.003212490181128184,-0.008955533802509307,-0.005345255136489868,-0.00106200377146403,0.008440349499384563,-0.0069948405027389525,-0.0016445298989613852,-0.002097627520561218,-3.677507241566976e-05,-0.013352863490581512,0.0,0.0,0.0,0.0,0.019552508493264516,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,1.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Pectin-Starch,0.0031637301047643027,-0.012006586417555809,0.06643546496828397,-0.0047832826773325605,-0.0023384802043437958,-0.01758477898935477,-0.022887032479047775,-0.022634737193584442,0.0006749586512645086,0.009602357943852743,-0.012576580668489138,0.002796728784839312,-0.01482433577378591,-0.0011554379016160965,-0.00998001421491305,0.0,0.0,0.0,0.0,0.026229246829946835,0.013779064640402794,0.010745015616218248,0.016494036962588627,0.020974815512696903,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.2,0.2,0.2,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Pectin-Xylan,0.003160828724503517,-0.006430823976794879,0.04982404845456282,-0.009975612163543701,-0.01565387969215711,-0.009821624184648195,-0.013019423931837082,-0.009613229582707087,-0.004619550580779712,0.01695953495800495,-0.006560072302818298,-0.003054864083727201,-0.005137687548995018,0.005534014354149501,-0.01749889242152373,0.0,0.0,0.0,0.0,0.01668965940674146,0.016057830924789112,0.017305103441079456,0.014473468686143557,0.0,0.02022736209134261,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.2,0.2,0.0,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Starch-Xylan,-0.004789277911186218,-0.002766865616043409,0.0673856387535731,-0.021021445592244465,-0.029597582916418713,-0.01153957781692346,-0.0159748625010252,-0.004521121581395467,0.001089764138062795,0.009270266940196356,-0.02148313137392203,-0.0006207035233577093,-0.013732890288035074,-0.002702869474887848,-0.01707109933098157,0.0,0.0,0.0,0.0,0.008135376498103142,0.00966233325501283,0.023056940486033756,0.0,0.010601390774051348,0.016619717081387837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.2,0.0,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Pectin-Starch-Xylan,-0.00636645033955574,-0.015460582450032234,0.04968933078149954,-0.010951384902000427,0.0029788153866926828,0.001313215121626854,-0.005037619421879451,-0.007174634685118993,0.0002885392556587855,0.00942073700328668,-0.009385858351985613,0.00046097983916600543,-0.007601143171389897,-0.000249229371547699,-0.01678520565231641,0.0,0.0,0.0,0.0,0.014771891757845879,0.01707787128786246,0.0,0.015073454628388086,0.01609992856780688,0.017489968488613766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.0,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-Inulin-Pectin-Starch-Xylan,-0.005401496465007464,-0.02233818421761195,0.06042395159602165,-0.015722467253605526,-0.0064151523013909655,-0.001440435027082761,-0.013635577633976936,-0.015383309995134672,-0.0013814376046260197,0.005107412735621135,-0.009661508724093437,-0.0020050530632336936,-0.012411962573726973,-0.00022787600755691528,-0.0017462826023499172,0.0,0.0,0.0,0.0,0.004936520010232925,0.0,0.00901077687740326,0.010528473804394404,0.00699490246673425,0.010768705978989601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.0,0.2,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal,0.006381119787693024,-0.005521427094936371,0.05525828550259272,-0.008883100748062134,-0.03605965971946716,-0.00675657590230306,-0.011704382300376893,-0.011202553908030191,0.00023060838381449382,0.002815178036689758,-0.014324957132339477,-0.002811765174070994,-0.009975676735242208,0.0034275760253270468,-0.0037620683511098226,0.0,0.0,0.0,0.0,0.0,0.04288939932982127,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,1.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal-Inulin-Pectin-Starch-Xylan,0.0010697369774182637,0.004350105921427409,0.0661332222322623,-0.013985088715950647,-0.01310001996656259,-0.009753415981928507,-0.021395665283004444,-0.012466222668687502,0.00018896410862604776,0.008511147151390711,-0.0277895691494147,-0.00014431215822696686,-0.0029035663853089013,0.0036563041309515634,-0.0068389928589264555,0.0,0.0,0.0,0.0,0.0,0.015285920972625414,0.012215284630656242,0.018649357681473095,0.01986670990784963,0.027333667501807213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.2,0.2,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Inulin,0.0010809799035390217,-0.008227937420209249,0.05579332957665126,-0.013353778918584188,-0.011367015540599823,-0.002609225114186605,-0.008188372850418091,-0.012117507557074228,-0.0008783971269925435,0.0014290859301884968,-0.007969797154267629,0.0009103665749231974,-0.0195852001508077,-0.0009433691700299581,-0.0017240499456723532,0.0,0.0,0.0,0.0,0.0,0.0,0.027750888963540395,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Pectin,-0.0038810417056083677,-0.005044501523176829,0.023043917119503023,-0.0009054089585940043,-0.006071439385414124,0.000441571573416392,-0.006530409057935079,-0.005763513843218485,-0.0004508266846338908,0.0034287005662918093,-0.0037579894065856933,-0.004905534287293752,-0.003147907555103302,-0.0028535857796669005,-0.002112707992394765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01851067692041397,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,0.0,1.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Starch,-0.00013404637575149537,-0.015315634508927664,0.05036511818567912,-0.010162953039010365,-0.007244757314523061,-0.000717763106028239,-0.002950576444466909,-0.003375851611296336,-6.763488054275512e-05,0.007763955493768056,-0.008868130048116048,0.0035724322001139323,-0.010012954970200856,-0.0002121518055597941,-0.005765765905380249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031267141302426657,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,0.0,0.0,1.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Xylan,-0.00485980212688446,-0.005316486954689026,0.029352553188800812,-0.005855636795361837,-0.006914671262105306,-0.0015930876135826111,-0.002204647660255432,0.0007091050346692403,0.0,0.002097509304682414,-0.008053846657276154,0.002141315738360087,-0.005505360662937164,-0.0003584782282511393,-0.010121543208758037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016483077903588612,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,0.0,0.0,0.0,1.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-Starch,-0.004238087683916092,-0.019994997419416904,0.04231085488572717,-0.009107510093599558,0.000505656935274601,0.00037277257069945335,-0.0030939974822103977,-0.00478333281353116,-0.001296070870012045,0.0041972314938902855,-0.0022110831923782825,-0.0020724190399050713,-0.009989967569708824,0.0004992983303964138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008901651948690414,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-Xylan,-0.004322508350014687,-0.026881575118750334,0.04446622310206294,-0.021196406800299883,-0.0006662961095571518,-0.0025170925073325634,0.0012764339335262775,-0.005185320973396301,0.002522828057408333,0.0053060357458889484,-0.01252000406384468,0.0008204057812690735,-0.0006719501689076424,0.0019661779515445232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017603049520403147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-RI-AcGum,-0.0027999477460980415,-0.008322463370859623,0.049745060969144106,-0.008675550576299429,-0.010397494304925203,-0.003912994638085365,-0.01815382158383727,-0.008840398862957954,-0.002052886411547661,0.005921931471675634,-0.007057088892906904,-0.0005937586538493633,-6.743660196661949e-05,0.0,-0.007395073771476746,0.0,0.0,0.0,0.0,0.02260192297399044,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,0.0,0.9160819302713719,1.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-RI-AcGum-ArGal-Inulin-Pectin-Starch,-0.0008612511058648428,-0.0010069354126850765,0.06729716124633948,-0.005890490487217903,-0.011799518018960953,-0.015408439561724663,-0.021536750718951225,-0.015489809215068817,-0.0024026905496915183,0.006200454508264859,-0.024086186662316322,-0.0004619620740413666,-0.025679753472407658,0.0,-0.005543374146024386,0.0,0.0,0.0,0.0,0.012208915005127588,0.011456539233525595,0.011678411314884821,0.015087726836403212,0.006237953280409177,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,0.0,0.9160819302713719,0.2,0.2,0.2,0.2,0.2,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-RI-AcGum-ArGal-Inulin-Pectin-Xylan,-0.005324997628728549,-0.010271481548746427,0.056708104287584625,-0.02294830170770486,-0.014132865394155184,-0.019396621733903885,-0.01992655483384927,-0.007250290364027023,-0.001543411985039711,0.010169591133793196,-0.014655180275440216,-0.002399928867816925,-0.01798938711484273,0.0,-0.00543858918050925,0.0,0.0,0.0,0.0,0.009996669366955757,0.01912983072300752,0.013935582712292671,0.007588326310118039,0.0,0.02374950610101223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,0.0,0.9160819302713719,0.2,0.2,0.2,0.2,0.0,0.2
