Experiments,PJabs<--ACabs,PJabs<--BAabs,PJabs<--BHabs,PJabs<--BLabs,PJabs<--BUabs,PJabs<--CAabs,PJabs<--CCabs,PJabs<--CHabs,PJabs<--DFabs,PJabs<--ELabs,PJabs<--ERabs,PJabs<--FPabs,PJabs<--PCabs,PJabs<--PJabs,PJabs<--RIabs,PJabs<--pH,PJabs<--Lactate,PJabs<--Butyrate,PJabs<--Acetate,PJabs<--AcGum,PJabs<--ArGal,PJabs<--Inulin,PJabs<--Pectin,PJabs<--Starch,PJabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-AcGum-ArGal-Inulin-Starch-Xylan,-0.003254317988952001,-0.0184989000360171,0.007063637798031171,0.004033759857217471,-0.07168171058098476,-0.007622240732113521,0.0075106943647066755,-0.0076766541848580045,0.0002775869021813075,0.002239540219306946,-0.004124227911233902,0.005266020695368449,0.005857069045305252,0.03213880149026712,0.0,0.0,0.0,0.0,0.0,0.015924358119567234,-0.006573726112643878,0.002191184088587761,0.0,-0.002684295177459717,0.005825424566864967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.2,0.2,0.2,0.0,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-AcGum-ArGal-Pectin-Starch-Xylan,-0.005902156854669253,-0.03730299696326256,0.007165888324379921,0.007630158215761185,-0.0471734224508206,-0.005376049006978671,0.007872473448514938,-0.004581262667973836,-0.005344575271010399,0.004813340802987416,-0.014399356519182524,0.004335539415478706,-0.0003995504230260849,0.0342848114669323,0.0,0.0,0.0,0.0,0.0,0.015993717436989147,0.013863328223427137,0.0,0.0010655317455530167,-0.0016478908558686574,0.011774098500609398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.2,0.2,0.0,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-AcGum-Inulin-Pectin-Starch-Xylan,-0.003397934138774872,-0.023137125497063,0.0033563971519470215,0.002669073020418485,-0.018378665670752525,0.0018814286837975185,0.001329958438873291,-0.0016947171340386074,-0.0020888857543468475,-0.004189199457565944,0.004442763825257619,-0.0012048613280057907,0.0032202613850434623,0.019053630530834198,0.0,0.0,0.0,0.0,0.0,0.006032429014643033,0.0,-0.0005017270644505819,0.006164629012346268,0.0007080590973297755,0.005734485884507497,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.2,0.0,0.2,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-ArGal,0.0021402998827397823,0.008348382078111172,0.010411841329187155,0.004826478660106659,-0.11524803563952446,-0.005439354572445154,0.011464274488389492,-0.007489487994462252,0.0014615259133279324,0.008011797443032265,-0.013862901367247105,0.009144280571490526,0.009422635193914175,0.1226187078282237,0.0,0.0,0.0,0.0,0.0,0.0,0.050120311323553324,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-ArGal-Inulin-Pectin-Starch-Xylan,-0.014890749007463455,-0.007241434728105863,0.003420881927013397,-0.0032802640149990716,-0.05850043520331383,0.013082090765237808,0.010308137784401575,-0.00391407310962677,-0.005384533355633418,0.002598162740468979,-0.0016255403558413188,-0.008761896441380182,0.002681295077006022,0.03529006366928419,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018399028728405635,0.002791800225774447,0.013043624659379324,0.006226796656847,0.015995975583791733,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-Inulin,-0.0022128019481897354,-0.004450821317732334,0.001995701342821121,0.002296161837875843,-0.0007614223286509514,0.0015479736030101776,0.0030665146186947823,-0.00024618301540613174,-0.0005295556038618088,0.0017398875206708908,-0.00435270182788372,-0.0018021892756223679,-0.0005435328930616379,0.003243383951485157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010095853358507156,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-Pectin,-0.0034383153542876244,-0.011011873371899128,0.003454112447798252,-0.0005800621584057808,-0.0008814278990030289,0.0005104625597596169,0.0018167654052376747,-0.010697444435209036,0.0011974917724728584,-0.0050333281978964806,-0.002754216082394123,-0.0004657004028558731,0.001962482463568449,0.014651319943368435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011269733309745789,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum,0.015540548165639241,-0.00626516193151474,0.004259460171063741,0.004441299041112264,-0.06345303356647491,0.00915766457716624,0.010376625259717305,-0.004096981883049011,-0.0004006221890449524,0.0022941817839940387,-0.007053946952025095,0.001787788172562917,0.00048366288344065347,0.06447712332010269,0.017731985449790953,0.0,0.0,0.0,0.0,0.038251227637132006,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,1.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Pectin-Starch,-7.020806272824605e-05,-0.016660150761405628,0.007762172569831212,0.009451685473322868,-0.03458029218018055,-0.01377430185675621,0.0059358179569244385,-0.006422967960437139,-0.0022133557746807733,-0.007163200527429581,-0.003050427262981733,0.0039616866658131284,-0.0026218704879283905,0.01761857233941555,0.013398312032222748,0.0,0.0,0.0,0.0,0.011690797284245491,0.0006450588504473368,0.0035487102965513864,0.002680742492278417,0.00784792626897494,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.2,0.2,0.2,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Pectin-Xylan,0.0009552078942457835,-0.0100666843354702,0.007260909304022789,0.00014708377420902252,-0.04371937923133373,-0.0006350477536519369,0.011170116563638052,-0.011825358495116234,-0.004908126468459765,0.0027513019740581512,-0.012116999675830206,0.004502131914099057,-0.0008153176556030909,0.028293175622820854,0.010099915166695913,0.0,0.0,0.0,0.0,0.01231264571348826,0.011582305654883385,0.004646522303422292,0.005021205792824428,0.0,0.015242349977294603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.2,0.2,0.0,0.2
