Experiments,Time,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,pH,Lactate,Butyrate,Acetate,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
AC-BA-BU-CA-CH-DF-EL-ER-PC-PJ-RI-Xylan,1,0.0211265147568716,0.700039599147186,0.0004774353617372,0.0002387176808686,0.293384029787516,0.0273331744594554,0.0,0.0017903826065145,0.116255510583011,0.0738831222288335,0.0526372486315276,0.0001193588404343,0.0261395860551123,0.0486984068971956,0.0822382410592346,6.60408176273311,0.0,15.912719735,30.836089998,0.0,0.0,0.0,0.0,0.0,1.0
AC-BA-BU-CA-CH-DF-EL-ER-PC-PJ-RI-Xylan,2,0.0059131673458301,0.472329326358756,6.03384423043888e-05,0.0001810153269131,0.277496496157884,0.0078439974995705,0.0001206768846087,0.0,0.0450124779590741,0.0869476953606243,0.0001206768846087,0.0,0.0022928608075667,0.020334055056579,0.0579852430545176,6.61531065830696,,,,0.0,0.0,0.0,0.0,0.0,1.0
AC-BA-BU-CA-CH-DF-EL-ER-PC-PJ-RI-Xylan,3,0.004836627267582,0.541912542111263,0.0,0.0,0.377677503155541,0.0044861470308007,7.00960473562622e-05,0.0,0.0351181197254874,0.0233419837696353,7.00960473562622e-05,0.0,0.0058179719305697,0.0293702438422739,0.0642780754256924,6.71377383160184,0.0,11.11124463,36.382225152,0.0,0.0,0.0,0.0,0.0,1.0
AC-BA-BU-CA-CH-DF-EL-FP-PC-PJ-RI-Starch,0,0.0006666666666665,0.0006666666666665,0.0,0.0,0.0006666666666665,0.0006666666666665,0.0,0.0006666666666665,0.0006666666666665,0.00045877778,0.0,0.0006666666666665,0.0006666666666665,0.0006666666666665,0.0007277733333333,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC-BA-BU-CA-CH-DF-EL-FP-PC-PJ-RI-Starch,1,0.0262446897500407,0.125081458468497,6.210067086786666e-05,0.0001840600181969,0.5380004643007057,0.0268268224982216,0.0002439186946581,0.0003399244365982,0.0655400353379109,0.0963986209461791,0.0001877293804227,0.155376309829761,0.0006379923364412,0.0046641583103174,0.0150588532935425,6.664244196967194,0.0,10.187614677333334,19.746870845333333,0.0,0.0,0.0,0.0,1.0,0.0
AC-BA-BU-CA-CH-DF-EL-FP-PC-PJ-RI-Starch,2,0.1518424134106596,0.1987616938673074,5.300964538993333e-05,0.0002062394187749,0.184255091750796,0.1542243124020696,0.0002691438685324,2.1870914843087636e-05,0.141053543992017,0.0889994930487202,9.417654978780524e-05,0.0171953511038848,0.0003328309999815,0.0008231431079589,0.0002194918301224,6.737818305842623,,,,0.0,0.0,0.0,0.0,1.0,0.0
AC-BA-BU-CA-CH-DF-EL-FP-PC-PJ-RI-Starch,3,0.0682245664074159,0.4483137591280139,3.6808231323955234e-05,3.6808231323955234e-05,0.1096568211176842,0.1298480732108588,0.0001979712243608,0.0,0.1190470765586861,0.0166527631391151,0.0001493793942598,0.0146813823508435,4.3732696110133336e-05,0.0002812248168217,0.0002625561916874,6.75255983934053,0.0,8.698256447,35.492388842666664,0.0,0.0,0.0,0.0,1.0,0.0
AC-BA-BU-CA-CH-DF-ER-FP-PC-PJ-RI-Pectin,0,0.0006666666666666,0.0006666666666666,0.0,0.0,0.0006666666666666,0.0006666666666666,0.0,0.0006666666666666,0.0006666666666666,0.0,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0007277733333333,6.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AC-BA-BU-CA-CH-DF-ER-FP-PC-PJ-RI-Pectin,1,0.068055074871451,0.0233262977474585,0.0,0.0002404772963655,0.192141359796076,0.0170738880419541,0.000160318197577,0.109016374352383,0.199756474180985,8.01590987885171e-05,0.0174746835358967,0.174265880766236,0.19622947383429,0.0451295726179351,0.326087213871688,6.63187227236478,0.0,6.87887009,17.8853149,0.0,0.0,0.0,1.0,0.0,0.0
AC-BA-BU-CA-CH-DF-ER-FP-PC-PJ-RI-Pectin,2,0.0057977323205146,0.0070910726073986,0.0,0.0001337938227811,0.0632844781754632,0.0797857163184662,4.45979409270353e-05,0.0016501238143003,0.0759948913396682,4.45979409270353e-05,0.0041476085062142,0.0770652419219171,0.250908015655501,0.0054409487930983,0.0213178157631229,6.60123890301094,,,,0.0,0.0,0.0,1.0,0.0,0.0
