Experiments,Time,ACabs true,ACabs pred,ACabs stdv,BAabs true,BAabs pred,BAabs stdv,BHabs true,BHabs pred,BHabs stdv,BLabs true,BLabs pred,BLabs stdv,BUabs true,BUabs pred,BUabs stdv,CAabs true,CAabs pred,CAabs stdv,CCabs true,CCabs pred,CCabs stdv,CHabs true,CHabs pred,CHabs stdv,DFabs true,DFabs pred,DFabs stdv,ELabs true,ELabs pred,ELabs stdv,ERabs true,ERabs pred,ERabs stdv,FPabs true,FPabs pred,FPabs stdv,PCabs true,PCabs pred,PCabs stdv,PJabs true,PJabs pred,PJabs stdv,RIabs true,RIabs pred,RIabs stdv,pH true,pH pred,pH stdv,Lactate true,Lactate pred,Lactate stdv,Butyrate true,Butyrate pred,Butyrate stdv,Acetate true,Acetate pred,Acetate stdv
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PC-PJ-RI-AcGum-ArGal-Pectin-Starch-Xylan,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PC-PJ-RI-AcGum-ArGal-Pectin-Starch-Xylan,1.0,0.0239436789321374,0.044197972281783834,0.049081292448460136,0.0,0.08993438655163824,0.10817162274485193,0.0,0.0,0.0591172981664006,0.0003564815721906,0.0,0.08960575248019502,0.772079671769542,0.23086786469416276,0.13918362969476827,0.0064166682994313,0.0,0.08179647570744476,0.0892986338337531,0.0407839289363829,0.0989774528494642,0.0486597346040212,0.0013053416445037757,0.07078066931738747,0.0312515511620453,0.012940735379996916,0.06713232039116884,0.108964533899603,0.07735335593251845,0.08538933233681877,0.0,0.0,0.08759236256973588,0.260350374889891,0.1382778595198935,0.06765135064165478,0.0534128222332296,0.06797283998586863,0.10619363737049872,0.0401635904668111,0.07529510939402477,0.10398248815350851,0.0704051105076497,0.02207003446082793,0.08247265433297078,6.74637376076111,6.905848362223626,0.43390616204477966,,1.1636436014184055,2.2260800939292875,,9.561221282071742,2.7260868396320856,,9.975162758015838,9.709966129049484
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PC-PJ-RI-ArGal-Inulin-Pectin-Starch-Xylan,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PC-PJ-RI-ArGal-Inulin-Pectin-Starch-Xylan,1.0,0.0320915498460852,0.05999297679672608,0.049090142243359655,0.0983270160981795,0.023495296399066293,0.10814944122294788,0.0041047331198481,0.005775159062105239,0.05911868581810364,0.0016792090035742,0.0,0.08962554505966984,0.747434585368704,0.2902127338969278,0.13915765439048386,0.0024255241162738,0.0,0.08180014126926435,0.0865725530731599,0.060674635681703074,0.09897705340347494,0.0009328938908745,0.0068792950853691776,0.07075539644450622,0.0666086238084442,0.015231865311069032,0.0671312549508998,0.0852665016259356,0.08599960113175426,0.08534671326793025,0.0,0.0,0.08759236256973588,0.221655588471797,0.16591264164585803,0.06766582042174568,0.0001865787781749,0.07076978680453751,0.10616755346277433,0.0,0.06566248605579773,0.10395635906489152,0.0335841800714845,0.021615384549320535,0.08246741667487749,6.71152783143964,6.8177756752749605,0.43391242495703347,,1.151588848256612,2.2257813104030206,,11.092636634150551,2.726267214043672,,8.146226233196277,9.712316140671463
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PC-PJ-RI-Starch,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-FP-PC-PJ-RI-Starch,1.0,0.0013027173467402,0.02803987141546629,0.04953379720437008,0.0068967388945073,0.03497664518931336,0.10921325544593538,0.0044828802814297,0.014671041745536512,0.05984969810879339,0.0,0.0,0.09058312930325883,0.297096185488945,0.37466890862375224,0.14114574084161768,0.0001532608643223,0.0,0.08331550222847993,0.0011111412663373,0.12156789755205546,0.09991699680984159,0.0401160312363845,0.0,0.07165946517378934,0.0612660305128738,0.011559819903426277,0.06861456862203168,7.6630432161193e-05,0.04705730133826581,0.08626566887980013,0.0,0.0,0.08759236256973588,0.104294018171384,0.14029688897805076,0.06829200421972392,0.0022222825326746,0.0,0.10714560762025901,0.0038698368241402,0.04514043309557599,0.10513238875373528,0.19207417821203,0.057319301268059154,0.08349349442220767,5.38971232112118,6.838660512091993,0.43635042117546863,,1.1333809060595126,2.2348339122932774,,13.866691216578753,2.779932696948406,,9.307512801020874,9.821569997018617
AC-BA-BH-BL-BU-CA-CC-DF-EL-ER-FP-PC-PJ-RI-ArGal,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-DF-EL-ER-FP-PC-PJ-RI-ArGal,1.0,0.0098554371615239,0.01683351896713755,0.04946895439379437,0.0002447174013019,0.061497179161045606,0.10890399594674599,6.6741109445986e-05,0.0,0.0595364827944221,0.0002002233283379,0.027443821610814687,0.09021651884386188,0.0004226936931579,0.24901367804610355,0.13951097610947583,0.0,0.0068745047595149605,0.08233330348404033,8.89881459279813e-05,0.09069163895861086,0.09960176343384942,0.0,0.0,0.07035675920401017,0.0587544233489497,0.01864735214988673,0.06748644955084908,0.0897445451683692,0.024061697936279876,0.08587747363390585,0.0227364712845992,0.06201810098298928,0.08954274036044611,0.0163293247777846,0.08042133063628056,0.06823818225424795,0.0086096031185321,0.0,0.10645942491930356,0.38979032620104,0.06036001788808291,0.10477726152618246,0.0199110976513858,0.0,0.08304445959801143,6.98391698745514,6.829997181093247,0.4349990192165895,,0.9259832013455308,2.2281328411773935,,10.156412923060213,2.7382581912313353,,5.129269386656392,9.755146932075883
AC-BA-BH-BL-BU-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Pectin-Xylan,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Pectin-Xylan,1.0,0.0,0.05369724774025326,0.04914685777650523,0.136259828687528,0.108858655915539,0.10817803959808774,0.0091189269967807,0.030664817608128763,0.05921034524715692,0.0032492728379333,0.023796432093314664,0.08967924027739095,0.299404769727634,0.21243202043545503,0.13902697813678697,0.0,0.0,0.08124955722231743,0.08196552771819,0.029548876074321915,0.09905910430903284,0.0545563391014295,0.0011312809650552932,0.07073508881339943,0.0126826455932238,0.030842055764715586,0.06717558941100663,0.0562857907732328,0.10438345657158113,0.08541119491272275,0.233790421451947,0.21613516370034555,0.08872586422557402,0.0459614883688316,0.17461016189356504,0.06775584639777592,0.0001048152528365,0.07901489637972238,0.10626740654962812,0.0,0.029673893391336813,0.10399820590861487,0.0357944088436853,0.007051808047500787,0.08245496813225371,6.79578863608279,6.526725112619202,0.4340930406211591,,1.3127188965440095,2.228345223379548,,11.381761305467577,2.730365111545172,,8.378977672618968,9.722309788710959
