Experiments,Time,ACabs true,ACabs pred,ACabs stdv,BAabs true,BAabs pred,BAabs stdv,BHabs true,BHabs pred,BHabs stdv,BLabs true,BLabs pred,BLabs stdv,BUabs true,BUabs pred,BUabs stdv,CAabs true,CAabs pred,CAabs stdv,CCabs true,CCabs pred,CCabs stdv,CHabs true,CHabs pred,CHabs stdv,DFabs true,DFabs pred,DFabs stdv,ELabs true,ELabs pred,ELabs stdv,ERabs true,ERabs pred,ERabs stdv,FPabs true,FPabs pred,FPabs stdv,PCabs true,PCabs pred,PCabs stdv,PJabs true,PJabs pred,PJabs stdv,RIabs true,RIabs pred,RIabs stdv,pH true,pH pred,pH stdv
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-ArGal,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,6.7,6.7,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-ArGal,1.0,0.0019496651499141,0.009113618476525425,0.025357270297192282,0.0080596393992512,0.021685639000697143,0.06993392283312164,0.0077065504350936,0.007918777126046446,0.031136452575058614,1.5351694093812e-05,0.002790916546208972,0.00935419094853058,0.266674278103608,0.2684725804198927,0.1129553387782306,0.0254224054193526,0.028771991817251177,0.029914998862851424,0.0993868675633388,0.10116620273193061,0.05874237556836999,0.0,0.007991633456876753,0.028119593845519465,0.0,0.019330542124728393,0.02146589971290409,3.0703388187624e-05,0.11681488124689342,0.04454942892048912,0.100814575114063,0.11667819777410172,0.08228040533475445,0.0021031820908522,0.06774336233191289,0.06258551546585463,0.0038993302998282,0.0,0.052414065962912385,0.0339425956414183,0.0433297006633225,0.030646454530699793,0.0,0.0,0.031421282533144974,6.62549714904619,7.100509972417524,0.2587667910404425
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-Pectin,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,6.7,6.7,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-Pectin,1.0,0.0209692933636304,0.14230079984737812,0.03603503747742498,0.0303585291980917,0.0,0.07254391755363579,0.0028167707503384,0.06497812193864574,0.041306373262451415,0.0002503796222523,0.014392626259135831,0.01731527289053313,0.190225918006187,0.06679009485276154,0.11727122330384657,0.005007592445046,0.15083231846572384,0.06286408842040853,0.127255443009733,0.10397443025188127,0.07079162392006233,0.066100220274608,0.12467224805264322,0.03355022416055233,0.010766323756849,0.04439680115069501,0.02309314678232601,0.125627975465093,0.14749899947781986,0.05969483896131588,0.0753642662979432,0.14793590920734104,0.09068521654105682,0.0899488792941399,0.2379435182716657,0.06791677279856767,0.0001251898111261,0.12422634935852757,0.06203723568308849,0.0283554922200733,0.04012744429184456,0.0348647066245051,0.0,0.0,0.031421282533144974,6.92739667125563,6.660689798627303,0.2858094279285797
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Starch-Xylan,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Starch-Xylan,1.0,0.102329487581559,0.021633581594822402,0.024046036853504663,0.0192824258752888,0.16532362955291158,0.062071461459030225,0.0022445151812505,0.0,0.028967262212532874,0.0003570819606534,0.0024394002881443504,0.00859492124187773,0.068661759862801,0.29203207405720977,0.10138220816492623,0.0162217233554017,0.0,0.02557623370533338,0.0487671934835347,0.07382428310822449,0.053094051276780824,0.0635605889963225,0.0,0.025633889376327074,0.0163747584813961,0.01347691877149106,0.01844201587077484,0.120489655866223,0.06090525566613382,0.04199458252290994,0.0692739003667784,0.3370788094646649,0.07357743881451957,0.381567580812594,0.08955192467980412,0.05750931219327068,0.323720303186727,0.026167171587699486,0.04593947264457256,0.035402125813361,0.04775121521237374,0.0268222307286562,0.0043359952365067,0.017284549679060256,0.03280880352522663,6.72786238220849,6.670670624383259,0.23863104525726758
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Starch,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Starch,1.0,0.0155299133119677,0.02281434670211963,0.02425408102328864,0.0414351304110799,0.011802688307671613,0.06285010507399307,0.0010573557999637,0.0,0.029494198191086392,0.001982542124932,0.0005571173881953776,0.008709191114089838,0.357254090912756,0.3879964944557936,0.10227482606729323,0.0183715570243703,0.0,0.02610544398627261,0.213387617380187,0.1581279861231734,0.05398070439032522,0.0005286778999818,0.005034446286839258,0.025952062161566945,0.0044276774123482,0.008563793213948406,0.018730529669909988,0.0822754981846802,0.05277819346874805,0.042662474024645514,0.427237827922857,0.353867127107708,0.07328644082040617,0.174926300156505,0.10679397953398842,0.057983696012417076,0.0050885247873256,0.0,0.04595218372722076,0.0083927616622123,0.010260187191650224,0.026972181440925284,0.0194289128243341,0.013359037665204248,0.03307335132629878,6.67606891706727,6.60848047058324,0.24257624098682126
AC-BA-BH-BL-BU-CA-CC-CH-DF-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Starch-Xylan,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Starch-Xylan,1.0,0.052565083967687,0.05308422310158713,0.02536400786996607,0.118119223433181,0.13301848170617095,0.06476930303116393,0.0056319732822521,0.021918732535514268,0.03081401054517937,0.0042620338352178,0.005278286318096877,0.008930194985540605,0.261607695885516,0.276422247929667,0.10794095825196492,0.0246081715485793,0.04792420086803787,0.03062277511339692,0.0694610038144435,0.07830842377125184,0.055562338605454606,0.0001522154941149,0.0,0.02760009959988246,0.0064945277489034,0.017749445402654926,0.01945520702431571,0.0,0.0,0.040968946552258044,0.294232550124148,0.28505893133402627,0.08036049211004286,0.0,0.06365438201338863,0.06319365326751765,0.0701713427869799,0.03799536471684162,0.048841523636722776,0.0207520456976679,0.03653515866276512,0.028008085209126503,0.0163377963683351,0.005973416971720726,0.034642749979424084,6.56901579235523,6.4539308774835025,0.26542667676689025
AC-BA-BH-BL-BU-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Xylan,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0
AC-BA-BH-BL-BU-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Xylan,1.0,2.81466894099944e-05,0.019566998550919052,0.025022877766852122,0.379135906352624,0.3156367411802441,0.06763363675552798,0.0,0.0,0.03538134571308547,5.62933788199887e-05,0.0,0.009550756374276619,0.244679171041081,0.39556118554908803,0.10767309004609259,0.0,0.0,0.024302664450348035,0.0455694901547809,0.059745405010443425,0.05809138135622281,0.044865822919531,0.0,0.02828162893183085,0.0021110017057495,0.0,0.02036877157136397,0.0178168543965264,0.0,0.04691566967532959,0.0818787194936736,0.1690825967419182,0.07633460719101746,0.0081625399288983,0.003590523830265517,0.060330079822325924,0.0135948509850273,0.005565617862234032,0.051923945096338416,0.0455413434653709,0.049735032380594416,0.029900740661813963,0.0704793102826259,0.001227626911063541,0.03517720316611106,6.39376472113097,6.330955011942932,0.270913666999229
AC-BA-BH-BL-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal-Inulin-Pectin-Starch-Xylan,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0
AC-BA-BH-BL-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal-Inulin-Pectin-Starch-Xylan,1.0,3.6951566696538e-05,0.023645055091995465,0.024593175488224456,0.0,0.10852712047559308,0.06344446739285015,0.002956125335723,0.011351646171516204,0.02947400774007115,0.0050993162041222,0.0011242419342516814,0.00881888336722195,0.0,0.0,0.09811669650619734,0.0079815384064522,0.010467404235669362,0.025803386592723018,0.0339215382274219,0.08269878720636556,0.05423452844879709,0.0988823924799357,0.020108333660602835,0.026393538200825867,0.010235583974941,0.01038296076817298,0.018936272083201793,0.161404443330478,0.09325218658349348,0.042903302076822504,0.266605553715522,0.2543758754564518,0.07563483786343143,0.0713165237243183,0.17407427651887028,0.05915426745801427,0.125857036168408,0.17435871896604682,0.04669111080506017,0.0793719652641636,0.10572756290192355,0.027692155702140807,0.0790763527305913,0.0296421812671581,0.03418102055430978,6.68104704633676,6.696709030708041,0.246953770165237
AC-BA-BH-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0
AC-BA-BH-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal,1.0,0.0001307208674811,0.0056257429950076245,0.024811176266274427,0.0905634169909513,0.014612590927704625,0.06522662754636607,0.020758473756009,0.007756805426975082,0.030660246817969816,0.0,0.0,0.0083368204911621,0.483353479598356,0.2957592651916699,0.10932421342219394,0.0,0.02201510134687293,0.028698823766867974,0.000339874255451,0.08540271535715606,0.05653332252285541,5.22883469924661e-05,0.0,0.027083081801158492,0.0727592348400165,0.016568347895277894,0.019652442586785442,0.0746939036787378,0.07531462323357642,0.04410073377323104,0.0001568650409773,0.10062317501343687,0.07987066552286803,5.22883469924661e-05,0.0734076062457987,0.06104229497898446,0.0051504021787579,0.009820166646334352,0.05112799213080511,0.0518438960430301,0.04188919163719289,0.02913246434093777,0.0001307208674811,0.0,0.03565859063947132,6.98391698745514,6.991684666142806,0.25700209743099683
