Experiments,Time,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,pH,Lactate,Butyrate,Acetate,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
AC-BA-BH-BL-CA-CC-DF-ER-FP-PC-PJ-Inulin,0,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0,0.0006666666666666,0.0006666666666666,0.0,0.0006666666666666,0.0,0.0006666666666666,0.0009333333333333,0.0006666666666666,0.0006666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-CA-CC-DF-ER-FP-PC-PJ-Inulin,1,0.0105141476496403,0.0013381642463178,0.0034409937762459,0.0856425117643429,0.0054163790922389,0.003950770631986,0.100043707939002,0.0003186105348375,0.0035047158832134,0.0,0.0165040257045869,0.156628938926157,0.768679776349158,0.0038870485250185,0.0,5.28892773761674,0.0,9.841581872,29.691199902,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-CA-CC-DF-ER-FP-PC-PJ-Inulin,2,0.001866263648461,0.0009512508887786,1.81190645481654e-05,0.0036872296355516,1.81190645481654e-05,0.0002174287745779,0.0211811864568054,0.0,3.62381290963308e-05,2.71785968222481e-05,0.0028809312631583,0.0340457222860028,0.0753934275849162,0.0001087143872889,9.0595322740827e-06,6.83383608418163,,,,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-CA-CC-DF-ER-FP-PC-PJ-Inulin,3,0.0028326538910747,0.00598004710338,0.0004046648415821,0.143656018761649,0.0,0.0056203450219737,0.254264408794092,4.49627601757899e-05,0.0010341434840431,0.0,0.0031473932123053,0.0616889069611838,0.208537281695314,0.0001798510407031,0.0,5.51477883647057,0.0,9.598445221,31.48406037,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-CA-DF-EL-FP-PC-PJ-Inulin,0,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0,0.0006666666666666,0.0,0.0,0.0006666666666666,0.0004666666666666,0.0,0.0009333333333333,0.0006666666666666,0.0006666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-CA-DF-EL-FP-PC-PJ-Inulin,1,0.0118332310638168,0.0059489467643231,0.001293249296592,0.163984010807865,0.0,0.0170708907150143,0.0003879747889775,0.0,0.0827679549818877,0.0186227898709247,0.0,0.128290330221926,0.504755200459856,0.0173295405743327,0.0001293249296592,6.96231589053547,0.0,11.030867528,30.059075538,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-CA-DF-EL-FP-PC-PJ-Inulin,2,0.010085989977354,0.0007758453828733,0.0333613514635557,0.0737053113729718,0.0,0.0038792269143669,0.0003879226914366,0.0003879226914366,0.0923256005619331,0.0128014488174109,0.0,0.0287062791663153,0.38132800568227,0.0038792269143669,0.0,5.06046071518999,,,,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-CA-DF-EL-FP-PC-PJ-Inulin,3,0.0053852027931439,0.0002564382282449,0.463383878438628,0.412609109246127,0.0,0.0148734172382072,0.0,0.0,0.0656481864307077,0.0760339346746282,0.0,0.0724437994791989,0.236307827327723,0.0116679393851453,0.0,6.71577071539344,0.0,0.0,55.127682135,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-CA-DF-ER-FP-PC-PJ-Pectin,0,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0006666666666666,0.0,0.0006666666666666,0.0,0.0,0.0006666666666666,0.0,0.0006666666666666,0.0009333333333333,0.0006666666666666,0.0006666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AC-BA-BH-BL-CA-DF-ER-FP-PC-PJ-Pectin,1,0.108208530665469,0.0113858995753222,0.002591566694383,0.0011470868975138,8.49693998158371e-05,0.0627923864639036,4.24846999079185e-05,0.0,0.0695049690493547,0.0,0.0393408321147326,0.209364601146223,0.13369935061022,0.0269777844415283,4.24846999079185e-05,6.99410328762741,0.0,9.222290864,19.650667128,0.0,0.0,0.0,1.0,0.0,0.0
AC-BA-BH-BL-CA-DF-ER-FP-PC-PJ-Pectin,2,0.214901819156447,0.0110368702872555,0.0330471805727594,0.0002537211560288,6.34302890072158e-05,0.0671726760586415,0.0001902908670216,6.34302890072158e-05,0.127685171771525,0.0,0.0790341401029909,0.442299405247316,0.21255489846318,0.0477630076224335,0.0,5.69561888049147,,,,0.0,0.0,0.0,1.0,0.0,0.0
